uncertainty_level,freeze_size,lam,method,seed,total_cost_mean,operational_cost_mean,changed_actions_total,runtime_mean_sec,fallback_rate
low,0,0.0,static,20,7.055555555555556,7.055555555555556,0,3.274116251203749e-07,1.0
low,0,0.0,static,21,7.041666666666666,7.041666666666666,0,2.146698534488678e-07,1.0
low,0,0.0,static,22,7.033333333333334,7.033333333333334,0,1.9334256649017333e-07,1.0
low,0,0.0,static,23,7.092592592592592,7.092592592592592,0,1.941290166642931e-07,1.0
low,0,0.0,static,24,7.081018518518519,7.081018518518519,0,1.8812716007232666e-07,1.0
low,0,0.0,static,25,7.010416666666667,7.010416666666667,0,1.969747245311737e-07,1.0
low,0,0.0,static,26,7.080246913580247,7.080246913580247,0,2.2351741790771484e-07,1.0
low,0,0.0,static,27,7.0092592592592595,7.0092592592592595,0,1.961986223856608e-07,1.0
low,0,0.0,static,28,7.017857142857143,7.017857142857143,0,2.1713120596749442e-07,1.0
low,0,0.0,static,29,7.033333333333334,7.033333333333334,0,2.2388994693756104e-07,1.0
low,0,0.0,static,30,7.0,7.0,0,1.9511207938194275e-07,1.0
low,0,0.0,static,31,7.0166666666666675,7.0166666666666675,0,2.1718442440032958e-07,1.0
low,0,0.0,static,32,7.128787878787879,7.128787878787879,0,2.1098689599470658e-07,1.0
low,0,0.0,static,33,7.0,7.0,0,2.1855036417643228e-07,1.0
low,0,0.0,static,34,7.011904761904761,7.011904761904761,0,2.373542104448591e-07,1.0
low,0,0.0,static,35,7.0586419753086425,7.0586419753086425,0,2.0820233556959363e-07,1.0
low,0,0.0,static,36,7.069444444444444,7.069444444444444,0,2.384185791015625e-07,1.0
low,0,0.0,static,37,7.037878787878787,7.037878787878787,0,1.8829649144952948e-07,1.0
low,0,0.0,static,38,7.0625,7.0625,0,2.0442530512809753e-07,1.0
low,0,0.0,static,39,7.0,7.0,0,2.1979212760925293e-07,1.0
low,0,0.0,full_reopt,20,16.259721743368075,7.830896686159845,45,8.829600281185574e-05,0.0
low,0,0.0,full_reopt,21,26.305890414041762,7.641727941176471,75,8.265301585197449e-05,0.0
low,0,0.0,full_reopt,22,13.993959732406278,5.803125,45,8.314996957778931e-05,0.0
low,0,0.0,full_reopt,23,21.78534982235433,6.029048656499636,67,8.602026436063979e-05,0.0
low,0,0.0,full_reopt,24,18.91529416974709,5.923611111111112,77,7.85558174053828e-05,0.0
low,0,0.0,full_reopt,25,8.582469560199174,7.010416666666667,11,8.060969412326813e-05,0.0
low,0,0.0,full_reopt,26,14.972128191772027,4.225694444444445,45,7.455589042769538e-05,0.0
low,0,0.0,full_reopt,27,15.586752294409441,8.00925925925926,40,8.367912636862861e-05,0.0
low,0,0.0,full_reopt,28,20.943807677845808,8.873299319727892,89,8.971164269106728e-05,0.0
low,0,0.0,full_reopt,29,17.120085992821597,7.333823529411765,51,8.709803223609925e-05,0.0
low,0,0.0,full_reopt,30,24.590087918863603,5.75,75,7.867254316806793e-05,0.0
low,0,0.0,full_reopt,31,16.997504443208676,6.218198529411764,63,8.43387097120285e-05,0.0
low,0,0.0,full_reopt,32,21.714298002505664,4.914141414141414,87,8.383393287658691e-05,0.0
low,0,0.0,full_reopt,33,22.094738033886458,7.833333333333333,49,9.155459702014923e-05,0.0
low,0,0.0,full_reopt,34,15.294540909661114,7.869047619047619,29,8.361946259226118e-05,0.0
low,0,0.0,full_reopt,35,19.1331305694485,5.703090958605665,63,7.822447352939182e-05,0.0
low,0,0.0,full_reopt,36,21.217667539041464,7.5667526659786715,43,8.976149062315623e-05,0.0
low,0,0.0,full_reopt,37,29.598612263971177,6.018455228981545,131,8.050792596556924e-05,0.0
low,0,0.0,full_reopt,38,17.336172358395075,5.776220383986928,56,8.020875975489616e-05,0.0
low,0,0.0,full_reopt,39,18.46687275255223,7.666666666666667,41,8.600205183029175e-05,0.0
low,0,0.0,periodic,20,9.65172970543669,7.609649122807018,11,1.0718901952107748e-05,0.8888888888888888
low,0,0.0,periodic,21,12.523151022883393,7.516995614035087,17,1.1628959327936172e-05,0.875
low,0,0.0,periodic,22,13.113634444541646,7.302631578947368,28,1.7390027642250062e-05,0.8
low,0,0.0,periodic,23,11.099880408162697,7.070987654320987,14,1.0126994715796576e-05,0.8888888888888888
low,0,0.0,periodic,24,10.8152027984804,5.654411764705881,26,1.407042145729065e-05,0.8333333333333334
low,0,0.0,periodic,25,7.68255813112242,7.010416666666667,5,1.1078547686338425e-05,0.875
low,0,0.0,periodic,26,9.420035748035518,5.374691358024691,17,9.090122249391345e-06,0.8888888888888888
low,0,0.0,periodic,27,9.467343579025416,8.119444444444445,9,1.0643154382705688e-05,0.8888888888888888
low,0,0.0,periodic,28,12.297595262145292,8.800983436853002,27,1.4168875558035715e-05,0.8571428571428571
low,0,0.0,periodic,29,13.578596114386675,7.931666666666667,29,1.9260123372077943e-05,0.8
low,0,0.0,periodic,30,12.76970827392892,7.5,17,1.1644326150417328e-05,0.875
low,0,0.0,periodic,31,10.400730720664972,6.716666666666667,21,1.6830116510391236e-05,0.8
low,0,0.0,periodic,32,11.487536385010548,5.603535353535353,30,1.5052882107821377e-05,0.8181818181818182
low,0,0.0,periodic,33,14.378520042701817,7.666666666666667,17,1.5735005338986714e-05,0.8333333333333334
low,0,0.0,periodic,34,12.19249393339643,7.869047619047619,15,1.346692442893982e-05,0.8571428571428571
